epoca,loss,accuracy,recall,precision,lr 
277,0.23955999314785004,0.89098,0.90886,0.86951,0.0000031250
278,0.23935000598430634,0.89121,0.90897,0.86967,0.0000031250
279,0.23937000334262848,0.89143,0.90909,0.86982,0.0000031250
280,0.23970000445842743,0.89167,0.90919,0.86996,0.0000031250
281,0.23950999975204468,0.8919,0.9093,0.87011,0.0000031250
282,0.2393600046634674,0.89212,0.90941,0.87025,0.0000031250
283,0.23851999640464783,0.89235,0.90952,0.87039,0.0000031250
284,0.23951999843120575,0.89257,0.90963,0.87053,0.0000031250
285,0.23980000615119934,0.89279,0.90973,0.87068,0.0000031250
286,0.23983000218868256,0.89301,0.90983,0.87082,0.0000031250
287,0.2391500025987625,0.89323,0.90994,0.87096,0.0000031250
288,0.23934000730514526,0.89345,0.91004,0.8711,0.0000031250
289,0.2395399957895279,0.89366,0.91013,0.87123,0.0000031250
290,0.23966999351978302,0.89387,0.91023,0.87137,0.0000031250
291,0.23989999294281006,0.89409,0.91032,0.8715,0.0000031250
292,0.23948000371456146,0.8943,0.91042,0.87164,0.0000031250
293,0.23962000012397766,0.89452,0.91052,0.87177,0.0000031250
294,0.2395000010728836,0.89473,0.91062,0.8719,0.0000015625
295,0.239329993724823,0.89493,0.91071,0.87203,0.0000015625
296,0.23984000086784363,0.89514,0.9108,0.87216,0.0000015625
297,0.23906999826431274,0.89534,0.9109,0.87228,0.0000015625
298,0.23950999975204468,0.89555,0.91099,0.87242,0.0000015625
299,0.23929999768733978,0.89576,0.91109,0.87255,0.0000015625
300,0.23983000218868256,0.89596,0.91118,0.87267,0.0000015625
301,0.23917999863624573,0.89615,0.91127,0.8728,0.0000015625
302,0.23921999335289001,0.89634,0.91135,0.87292,0.0000015625
303,0.238769993185997,0.89653,0.91145,0.87305,0.0000015625
304,0.23907999694347382,0.89673,0.91154,0.87317,0.0000007812
305,0.23907999694347382,0.89693,0.91163,0.87329,0.0000007812
306,0.23883000016212463,0.89712,0.91172,0.87342,0.0000007812
307,0.23904000222682953,0.89731,0.91181,0.87353,0.0000007812
308,0.23919999599456787,0.8975,0.9119,0.87365,0.0000007812
309,0.23898999392986298,0.89769,0.91199,0.87377,0.0000007812
310,0.239329993724823,0.89788,0.91207,0.87389,0.0000007812
311,0.23925000429153442,0.89806,0.91216,0.874,0.0000007812
312,0.23940999805927277,0.89824,0.91224,0.87411,0.0000007812
313,0.2392899990081787,0.89843,0.91232,0.87423,0.0000007812
314,0.23921999335289001,0.89861,0.9124,0.87434,0.0000003906
315,0.23910999298095703,0.89878,0.91248,0.87446,0.0000003906
316,0.23907999694347382,0.89897,0.91257,0.87457,0.0000003906
317,0.23907999694347382,0.89914,0.91265,0.87468,0.0000003906
318,0.23937000334262848,0.89931,0.91273,0.87479,0.0000003906
319,0.23913000524044037,0.89949,0.91281,0.8749,0.0000003906
320,0.23905999958515167,0.89966,0.91289,0.87501,0.0000003906
321,0.23923000693321228,0.89983,0.91297,0.87512,0.0000003906
322,0.2392600029706955,0.90001,0.91305,0.87523,0.0000003906
323,0.2392600029706955,0.90017,0.91313,0.87534,0.0000003906
324,0.23938000202178955,0.90035,0.91322,0.87545,0.0000001953
325,0.23928000032901764,0.90052,0.91329,0.87556,0.0000001953
326,0.23928000032901764,0.90068,0.91337,0.87566,0.0000001953
327,0.23925000429153442,0.90085,0.91344,0.87576,0.0000001953
328,0.23905999958515167,0.90101,0.91352,0.87587,0.0000001953
329,0.23914000391960144,0.90118,0.9136,0.87598,0.0000001953
330,0.23909999430179596,0.90134,0.91367,0.87608,0.0000001953
331,0.23903000354766846,0.9015,0.91375,0.87619,0.0000001953
332,0.23904000222682953,0.90167,0.91382,0.87629,0.0000001953
333,0.2389499992132187,0.90183,0.9139,0.87639,0.0000001953
