epoca,loss,accuracy,recall,precision,lr 
95,0.26589998602867126,0.82701,0.86099,0.80617,0.0002000000
96,0.25832998752593994,0.82771,0.86159,0.80688,0.0002000000
97,0.25422000885009766,0.82843,0.86208,0.80768,0.0002000000
98,0.2598100006580353,0.82912,0.86249,0.80848,0.0002000000
99,0.25661998987197876,0.82979,0.86305,0.80917,0.0002000000
100,0.2593899965286255,0.83045,0.86359,0.80983,0.0002000000
101,0.250900000333786,0.83111,0.86405,0.81058,0.0002000000
102,0.2518700063228607,0.83178,0.86461,0.81127,0.0002000000
103,0.2530199885368347,0.83243,0.86509,0.81197,0.0002000000
104,0.25589999556541443,0.83305,0.86545,0.81273,0.0002000000
105,0.2513999938964844,0.83367,0.86595,0.81337,0.0002000000
106,0.2481900006532669,0.8343,0.86647,0.81402,0.0002000000
107,0.24775999784469604,0.83493,0.8669,0.81473,0.0002000000
108,0.24845999479293823,0.83554,0.86733,0.8154,0.0002000000
109,0.24413999915122986,0.83614,0.86778,0.81604,0.0002000000
110,0.24354000389575958,0.83675,0.86828,0.8167,0.0002000000
111,0.24616000056266785,0.83734,0.86879,0.81727,0.0002000000
112,0.2434699982404709,0.83793,0.86934,0.81782,0.0002000000
113,0.24229000508785248,0.8385,0.86977,0.81844,0.0002000000
114,0.24202999472618103,0.83907,0.87011,0.81912,0.0002000000
115,0.24371999502182007,0.83964,0.87047,0.81976,0.0002000000
116,0.24683000147342682,0.84017,0.87086,0.82036,0.0002000000
117,0.23799000680446625,0.8407,0.87119,0.82096,0.0002000000
118,0.2418999969959259,0.84124,0.87154,0.82158,0.0002000000
119,0.23383000493049622,0.84178,0.87194,0.82216,0.0002000000
120,0.23892000317573547,0.84232,0.87236,0.82273,0.0002000000
121,0.241689994931221,0.84284,0.87278,0.82327,0.0002000000
122,0.2380799949169159,0.84334,0.87323,0.82379,0.0002000000
123,0.2351599931716919,0.84385,0.87369,0.82431,0.0002000000
124,0.23701000213623047,0.84436,0.87406,0.82487,0.0002000000
125,0.2341099977493286,0.84486,0.8744,0.82543,0.0002000000
126,0.22865000367164612,0.84536,0.87482,0.82595,0.0002000000
127,0.22809000313282013,0.84587,0.87521,0.82651,0.0002000000
